east,north,zygosity,twin1,twin2
19,1,1,0.0432703710123581,-0.302388573508899
19,1,2,-2.13560849869658,-1.08505326431226
19,1,2,0.759237911707474,2.20512422206385
20,1,1,-1.28924678284683,-1.06376400716825
20,1,2,-0.341531269646588,-1.16960117027821
20,1,2,0.0752801564546683,0.350698780282164
21,1,1,0.902391597356826,0.393290803491732
21,1,2,0.329017541519114,-0.356840973287982
21,1,2,-0.215027174825961,-0.832864811317607
22,1,1,-0.722923500783671,-0.485121611522993
22,1,2,-1.4120700439206,-0.699900999098044
22,1,2,-0.649326410256802,0.121634943571911
23,1,1,-2.93379933470359,-3.0322830821396
23,1,2,0.221410174381708,0.491725003247582
23,1,2,0.969323704609082,0.77999601343135
24,1,1,-0.934614591120428,-1.7727693211136
24,1,2,-0.505993301785832,-0.630320934102212
24,1,2,0.0983529669959853,0.0743295371019983
25,1,1,0.829432812815677,0.891398511045973
25,1,2,-0.72425393334634,-1.61341035231157
25,1,2,0.108754907782008,-0.713528194941316
26,1,1,0.845930404677402,1.5438401307048
26,1,2,-1.57615116819905,-0.644240944912978
26,1,2,0.128005843099053,1.67848319379569
27,1,1,0.445917486611279,0.560485224380921
27,1,2,-1.81473801043087,-0.994329123552739
27,1,2,-0.484877251031744,1.17876210223287
28,1,1,-0.880600608427255,-1.55300136581088
28,1,2,-0.628132329968858,-0.735393332217406
28,1,2,-2.37095082527225,-1.98836064135905
29,1,1,-1.87572934243635,-1.64172934361004
29,1,2,0.273237448224079,-0.535324360148265
29,1,2,-0.540473191835154,0.806627695989527
30,1,1,-0.445842471333235,-0.198217748419172
30,1,2,-0.64955304788887,0.0985529902754717
30,1,2,1.20376366994774,-0.605215751181782
31,1,1,0.658355877223874,0.604416121240556
31,1,2,-0.6157599918129,-0.301000494341587
31,1,2,-0.73059207393917,0.347435178727675
32,1,1,1.04958721270182,0.902205023612657
32,1,2,-1.19315699838879,-0.358193625659125
32,1,2,-0.497157076809685,0.238209932593359
33,1,1,0.72453950215937,0.388840754024656
33,1,2,-0.361645605012109,0.508990036164501
33,1,2,0.303366261064777,-0.385003007139556
34,1,1,0.0117714282030968,-0.319164794842458
34,1,2,0.163499644323433,0.556661714764666
34,1,2,0.331541014711813,-0.726584985779051
35,1,1,0.395876103881628,0.216012578783857
35,1,2,-1.10769738722604,-0.780604774753526
35,1,2,-1.37134194563804,-0.805943462705943
36,1,1,1.22333882377458,0.110763338882892
36,1,2,0.225550552944816,-0.484777501587132
36,1,2,-0.693493328630253,-1.85712459758327
37,1,1,-0.202909631923585,-0.653980823516598
37,1,2,1.79620076981012,-0.810668601598103
37,1,2,-0.375507694719124,-1.33588438928399
38,1,1,-1.74908806935706,-1.7572195005596
38,1,2,0.582436117481104,2.28770870374608
38,1,2,-0.476290619461682,-0.0412076916594119
39,1,1,0.578386181560876,-0.0518886893863462
39,1,2,-0.97368575049213,-1.28327644624778
39,1,2,0.301943631329738,1.05424501497832
40,1,1,-1.15034473613184,-0.708761408023778
40,1,2,-2.50350054676615,-2.26055222024744
40,1,2,-0.0719016986445704,1.13498917128686
41,1,1,-1.24923580104993,0.425786002005823
41,1,2,0.0111282714036602,0.644213618939353
41,1,2,-0.895458968290424,-0.193796465530921
42,1,1,-0.0364622955299245,-0.0818201125981443
42,1,2,0.888603455035992,-0.150459558824005
42,1,2,1.31658689860693,1.64754996117946
43,1,1,1.36445298771929,2.19165432830789
43,1,2,-0.570247062839104,0.544536811957505
43,1,2,0.00646215161139283,0.0115508513977161
44,1,1,-0.168507118111881,-0.311163974731002
44,1,2,-0.449640107654311,-0.526771730195464
44,1,2,-0.964942687097569,0.0319778897091945
45,1,1,-1.2943184638161,-1.22146427069522
45,1,2,-0.735144857511733,0.0826596655491073
45,1,2,1.1628025877993,0.62030768658422
46,1,1,-0.148570833059542,0.26233488945238
46,1,2,0.386077579638786,-0.172508349651815
46,1,2,-0.634124508440808,1.61670539890787
47,1,1,-1.05049599621415,-1.00103270507064
47,1,2,-0.325056164029752,0.699123798984226
47,1,2,-0.340492035313692,-1.24193448582342
48,1,1,1.35963018249018,1.65389870732656
48,1,2,1.5913310477574,0.934434758457082
48,1,2,-1.54909175889329,0.510107677664454
49,1,1,0.312954219621613,0.823016390644687
49,1,2,-0.312044285377346,-0.491050344459146
49,1,2,-1.02870430078121,-0.392705194681228
50,1,1,0.345909072088684,0.800871652730561
50,1,2,0.0537660273120913,1.11762936539142
50,1,2,0.776920401562512,-0.00251151944667283
1,2,1,-0.722199698248629,-0.781425771686417
1,2,2,1.99399774465263,1.92647546710281
1,2,2,-1.11559073531939,-1.13260081033312
2,2,1,-0.110825284430565,-1.01695011283436
2,2,2,-1.0659404024725,0.225489002376754
2,2,2,-0.25961175552287,-0.129786289351824
3,2,1,0.833742905762603,0.976992019355604
3,2,2,0.621484462053788,-0.0489749940949257
3,2,2,-0.60970357129648,-0.483640294595137
4,2,1,-0.0709011895301885,-0.27601386589977
4,2,2,-1.89230985333986,-0.20537084031357
4,2,2,-0.48429335282814,-0.922795676614095
5,2,1,-0.167856460498799,0.439696714878441
5,2,2,-1.88429584045336,-1.57701379741319
5,2,2,-1.03620657464995,-1.09398818524649
6,2,1,-1.7134503227925,-1.58916380752468
6,2,2,-0.220332216824229,0.029437708941684
6,2,2,-0.0749633502580954,0.646482608058811
7,2,1,0.545658005489787,0.62650288557363
7,2,2,-1.07064532087601,-0.923332842596589
7,2,2,-1.45097271539061,-0.772135444883145
8,2,1,0.416164171210967,1.3803279566127
8,2,2,0.301128375453726,0.804443176924799
8,2,2,0.168044064193957,-0.872502928214461
9,2,1,-0.0477168335089185,-1.11802604570609
9,2,2,1.58681834262143,1.23412930929358
9,2,2,0.0471008733597196,1.15264932294436
10,2,1,-0.492825487455794,-0.242678605950447
10,2,2,-0.3878612649705,0.367204876216953
10,2,2,-1.13490307281826,-0.824107798405826
11,2,1,-1.00472211192914,-1.79581853725617
11,2,2,1.6418186955625,0.204756240847216
11,2,2,0.194377962527368,-0.766085412494357
12,2,1,-0.549688286273738,-0.188891850533189
12,2,2,-0.578089025493946,0.154146081148825
12,2,2,0.189035601674623,0.00932940836207645
13,2,1,-0.963473214614966,-0.65707131179543
13,2,2,-0.409875617224366,0.0309214247085048
13,2,2,-0.453519190657204,-0.668068629036898
14,2,1,0.94804758120233,0.923908571743315
14,2,2,-0.946336737518771,-0.750912046353958
14,2,2,-1.62246134298438,-1.74928952766199
15,2,1,1.04865077245297,0.15100161703953
15,2,2,0.850121640903428,0.898209024682073
15,2,2,1.04168697942599,0.300395825260576
16,2,1,0.342769886155099,0.349017043602404
16,2,2,0.42348322003768,0.517738315589295
16,2,2,0.682586168348678,1.24911417420208
17,2,1,-0.998841730296597,-1.01519322312947
17,2,2,-0.191503682740337,-1.7045996069546
17,2,2,-0.635507398543974,1.11097654707761
18,2,1,0.368482270700895,0.731021935443539
18,2,2,-1.22552501404025,-1.18048634846105
18,2,2,-0.475494361329035,0.178108300563785
19,2,1,0.133823515263862,-0.317759522225073
19,2,2,-0.769495449875507,-0.794894710813215
19,2,2,-0.316021112451309,-0.79270122268677
20,2,1,0.227340587925393,0.361442807597336
20,2,2,0.696567815823357,1.35078636805416
20,2,2,-0.65403070652902,0.827658468241576
21,2,1,-0.807870364270055,-0.916576461192908
21,2,2,1.17751318915953,1.49421283036319
21,2,2,1.18446202994022,0.852720763285477
22,2,1,0.28533737356317,0.556771000794696
22,2,2,-0.0441025393454049,1.48052909685352
22,2,2,-0.758232100810691,0.708413208879333
23,2,1,-0.894977856068553,-0.920708762393136
23,2,2,-0.123827378404249,-0.68568634421712
23,2,2,1.05830800519559,-0.0715089020094852
24,2,1,0.342230024318697,0.726243412469005
24,2,2,-1.35708666056735,-0.686896735030378
24,2,2,-1.37811525673468,-1.21657142147054
25,2,1,0.834236950074927,1.47871311240575
25,2,2,1.88041673505568,2.15435335006417
25,2,2,-0.254017719511265,0.456996438965892
26,2,1,0.705849349129583,0.300118891514297
26,2,2,-0.51981390384248,-0.477940350194063
26,2,2,1.32983601322591,0.00902547204028581
27,2,1,0.946222634992153,0.114252042242822
27,2,2,0.730097538696395,0.745685304656133
27,2,2,-0.22033484408519,0.75193048481597
28,2,1,-0.222868819893344,0.501980018935647
28,2,2,0.683074081393963,0.180899598167469
28,2,2,-0.587221843863423,-0.909244890366555
29,2,1,-1.13220354932064,-1.73672549568083
29,2,2,-0.603583793827989,-0.407524888786082
29,2,2,0.231716322831627,-0.389295713389769
30,2,1,-0.311604498163846,-0.429959065016458
30,2,2,0.944526576234651,-1.78055674874828
30,2,2,-0.551396136534747,-0.360674621447609
31,2,1,1.41553988238095,1.30780427685228
31,2,2,-0.736096912495722,-1.75108952023347
31,2,2,-1.31264034428295,-0.218045116925321
32,2,1,-2.11681397899294,-2.25965409817442
32,2,2,-0.603831663600424,1.47881787389245
32,2,2,0.439070993393503,-1.46979779240547
33,2,1,-0.793744830094223,-1.21424098126767
33,2,2,0.169509152825667,0.114637272231178
33,2,2,0.315659120369881,-0.669117789142954
34,2,1,-0.0731283228280359,0.086170464770298
34,2,2,-1.54104929681882,-0.280581190041243
34,2,2,-2.33663669648831,-3.14108067810105
35,2,1,-0.487430732824407,-0.569162979918748
35,2,2,-0.26187237615159,1.03588807146128
35,2,2,0.154596554885753,-1.8031971841941
36,2,1,1.17417438614964,0.929977303306104
36,2,2,-2.2823473493862,-1.5574917473159
36,2,2,-0.554788819163043,-0.271208639950106
37,2,1,-1.18601934988752,-0.913655717174083
37,2,2,-0.884272912597117,0.00284573789046655
37,2,2,-0.173413445797131,-0.00913215915175922
38,2,1,1.86694368377468,1.77990868661735
38,2,2,1.09757578063785,1.18676107156717
38,2,2,0.246246275699351,0.886862826951925
39,2,1,-0.14164218924099,0.28607144052413
39,2,2,-0.0699423779694476,1.06256939696632
39,2,2,-1.72450398471295,-0.351311970283231
40,2,1,3.39518822557365,3.03646096888459
40,2,2,-1.8296670233822,-1.53698363954395
40,2,2,0.562583414686512,0.273725550645584
41,2,1,0.181178624886837,-0.0416807307545527
41,2,2,1.63922141722818,0.850939642330345
41,2,2,-2.06307977016174,-0.110320558317354
42,2,1,1.37974073213881,1.28821122445527
42,2,2,0.114532287051124,0.208438686834766
42,2,2,0.310362544285676,-0.413213663077754
43,2,1,-0.779068613582061,-0.557482040132175
43,2,2,1.49450661734991,2.02681106109326
43,2,2,0.600915300296168,1.05856819045619
44,2,1,0.0492787365099267,0.282499579773089
44,2,2,-0.650700884539944,-1.94112875820713
44,2,2,0.343416305692964,-0.50275095921935
45,2,1,-1.09484934063912,-0.916782229441437
45,2,2,-0.382265868137588,-0.0749657570560011
45,2,2,0.595959524351609,0.420195061192726
46,2,1,1.55380019949373,1.50998797584045
46,2,2,0.653988046773646,0.573115825312745
46,2,2,-0.691699296880725,0.489587595413719
47,2,1,1.02273108656385,1.25459480311257
47,2,2,-0.615500217018855,-1.99651290324247
47,2,2,0.309591699237921,-0.713476706835225
48,2,1,-0.827759255062762,-1.20260934991164
48,2,2,-1.03204101986875,-0.705145024979928
48,2,2,-0.727405367350322,1.12965178794748
49,2,1,-0.553227766734443,-0.724997063013677
49,2,2,1.46183752549839,1.06273768552221
49,2,2,-0.763326747197263,-0.950373808954833
50,2,1,0.407908264786771,0.337173351344254
50,2,2,0.836812188320196,1.14343662166216
50,2,2,0.824039163951267,2.59336354732694
1,3,1,0.254173589093312,0.046702472091812
1,3,2,0.00925405941780219,0.0547467200806233
1,3,2,1.07769919344499,0.900457453438789
2,3,1,0.0272602072765206,0.590718901638299
2,3,2,-1.02874994218055,-1.32841841850545
2,3,2,-0.663437998964037,-0.447978597722993
3,3,1,0.311843293900418,0.274354639513579
3,3,2,-1.04391905626661,-1.60457979222175
3,3,2,-0.581993681835112,-0.675834504407011
4,3,1,-0.0191408967668514,0.494343564942683
4,3,2,-1.22288920298434,0.0439318006944261
4,3,2,0.649418750318574,0.956487250876621
5,3,1,-0.994756077857401,-0.576156177659087
5,3,2,-1.88744365666388,0.907925232334148
5,3,2,-0.845904803343371,-0.211054019016276
6,3,1,0.071796578634869,0.575455554289686
6,3,2,-0.778257229930781,0.0125485578178612
6,3,2,0.485007240322284,-0.431492878660662
7,3,1,-0.174430443613925,-0.755635499219253
7,3,2,-0.19284833584198,-0.911856116401471
7,3,2,-0.271963575014116,-0.6547075101278
8,3,1,0.424265363453313,-0.0199613402426779
8,3,2,-1.21083366656842,-0.775661219942138
8,3,2,0.208512185049185,-0.548942566770549
9,3,1,-1.38666538852555,-0.865598811811356
9,3,2,0.290674238908539,0.139244762885411
9,3,2,-2.18758657404115,-1.44163205294551
10,3,1,-0.482639997339615,0.112567002064964
10,3,2,-0.685130545939003,-1.03045581958467
10,3,2,0.107594684649678,-0.0228564644907068
11,3,1,-1.67625806623699,-0.740747504623978
11,3,2,-1.9539397937762,-0.570952516596869
11,3,2,-0.0423308821964394,0.358291259635294
12,3,1,0.135970043415121,-0.40472043093268
12,3,2,-0.793313742137231,-1.14599462440378
12,3,2,0.183317391199931,0.0644397877130068
13,3,1,0.00767313768164899,-0.0209841157108456
13,3,2,-0.266672123097555,-0.765214743874388
13,3,2,0.439770451366056,0.22541591523177
14,3,1,-0.620573719470327,-0.080150645884914
14,3,2,1.61835879301975,1.96903840925599
14,3,2,-0.153249962769067,-1.08671759599615
15,3,1,-0.311583356154179,-0.340800684760668
15,3,2,0.854215942582745,0.839142184350118
15,3,2,0.894740701321851,0.510953078018582
16,3,1,-0.261586171622259,-0.523655425188528
16,3,2,-0.132893603101482,-0.299516288091154
16,3,2,1.41409871775433,-1.81678832562492
17,3,1,-1.23466749659277,-1.11063599299999
17,3,2,-0.202672454597968,-1.10546467567877
17,3,2,-0.487617294820067,-0.925152226228032
18,3,1,-0.949300700105239,-1.01686217469433
18,3,2,0.281000833545434,0.45654852493561
18,3,2,0.0242556533448686,-1.26608950637167
19,3,1,-0.0129457842818333,0.39124566269131
19,3,2,-1.42199083988432,-1.24169355566895
19,3,2,1.6819263431423,1.48379647712258
20,3,1,-0.109026749739466,-0.229555906371532
20,3,2,-2.33946847511734,-1.17283924736991
20,3,2,1.42589556073381,1.53200224674828
21,3,1,0.982764009681895,1.32478158981779
21,3,2,0.80567444981335,-0.319696763826894
21,3,2,0.807188708614166,0.270911962427864
22,3,1,-0.0211534719390003,0.322898623480879
22,3,2,-0.0492819779312084,-0.536359017952552
22,3,2,1.27019514965495,0.144692385830066
23,3,1,-0.542223884278794,0.105771638667625
23,3,2,0.298302848878377,-0.539346807101897
23,3,2,-0.522009829791617,-0.698834047425729
24,3,1,0.118152460599988,-0.0669398110261729
24,3,2,3.20981212420511,0.131757715298424
24,3,2,-0.0087087688124512,-0.0949883974493754
25,3,1,-0.0871641780111114,0.267298427559762
25,3,2,-0.442034894491431,-0.713046074512139
25,3,2,-1.20351102616891,-2.37050513502782
26,3,1,-0.19624487276346,-0.071113822639697
26,3,2,-1.73750665538068,-1.97125337163314
26,3,2,-1.72670007880387,-1.31650132702889
27,3,1,-0.146898741012105,-0.12992759694173
27,3,2,-0.490300585219732,-0.24299179908363
27,3,2,-0.850376321182462,-1.19735123530681
28,3,1,-0.301890029682039,-0.0658857923103587
28,3,2,1.08762734711261,-0.3951415663033
28,3,2,-2.73671403647958,-1.49419358212303
29,3,1,0.470619548680994,-0.143232081741275
29,3,2,0.125851082683529,0.61453565028367
29,3,2,0.0719834848653113,0.739597771712629
30,3,1,1.19177515727626,1.70843212816029
30,3,2,0.95062414939541,1.82509123442627
30,3,2,0.0819659464299472,0.0368139900063678
31,3,1,1.14725900057903,0.955062423300703
31,3,2,0.641956593096325,0.258374836194498
31,3,2,-1.4628826436587,-0.901679971450044
32,3,1,0.409345268100824,0.68528631550945
32,3,2,0.911608862474938,1.95762224322996
32,3,2,3.07810734846579,0.0408226039847857
33,3,1,0.0509786818646936,0.453709077299517
33,3,2,1.33384114819509,0.761955179058572
33,3,2,-0.230280357119812,-1.40996091392542
34,3,1,-0.568572141628476,-0.520507505481714
34,3,2,-0.935171410725461,0.745507727206897
34,3,2,-1.23412156069404,-1.44092289777218
35,3,1,0.260012904559132,0.208978254204264
35,3,2,1.02712245402963,0.254299915678115
35,3,2,-0.963624655584586,-2.27504171948669
36,3,1,1.1121636564666,1.37829505551155
36,3,2,-0.171315345936189,-2.63080351338118
36,3,2,1.79278255469178,0.504656307170396
37,3,1,1.42281682870535,1.91082322064965
37,3,2,0.741583108552094,0.428212593405091
37,3,2,-1.99702756122413,-1.39122379206813
38,3,1,0.00595644720806693,-0.808561810570256
38,3,2,-1.88461776219541,-1.01474739440278
38,3,2,-0.92678887179025,-0.917903684903036
39,3,1,-0.042777665505614,-0.640430503218569
39,3,2,-1.34591762105059,-0.970642243663178
39,3,2,-0.406451792891736,1.10088878299765
40,3,1,0.230281754814711,-0.134622578124392
40,3,2,-0.417218263413112,-0.557390106773993
40,3,2,-0.514672395651364,0.90014171883549
41,3,1,1.20063331813663,1.2125559221844
41,3,2,-1.13070343523516,0.157771538746445
41,3,2,0.824934781258983,0.932586513555137
42,3,1,-1.33474258377329,-2.10088392307904
42,3,2,1.2242657905839,0.986985212857177
42,3,2,0.822525787977679,0.487610711491832
43,3,1,-0.278663389835836,0.0592102129849727
43,3,2,-0.430620461458686,-0.106118964404934
43,3,2,-0.914852124451249,-1.30604431209125
44,3,1,2.31597607008926,1.63335302857986
44,3,2,-0.486677895792448,-1.20166537587218
44,3,2,0.36545687629794,0.246890135888564
45,3,1,-0.685684157953742,-1.10712850450012
45,3,2,0.0331179055397854,0.0153971558097295
45,3,2,1.25582639743967,1.80436785563749
46,3,1,-0.0274543736195681,-0.413295435172967
46,3,2,-2.48535069242039,-1.19339737253833
46,3,2,-0.115757328620787,0.0426816033107229
47,3,1,-1.20910100656621,-0.984531450447878
47,3,2,-0.647734430076099,-0.688685237309859
47,3,2,0.436875691699622,0.0576047570248607
48,3,1,-0.580696171260573,0.182635233303991
48,3,2,0.61923080319411,0.42574986842612
48,3,2,1.8399818760385,-0.0161314178512538
49,3,1,-0.239083046199203,-0.705077525661914
49,3,2,-0.708029129582791,-0.172507258455274
49,3,2,-0.486867878149025,-1.71460900024676
50,3,1,-0.829999017081744,-0.885092358163038
50,3,2,0.0266179766517027,-0.625708242691241
50,3,2,-0.0576857890032458,-2.24309580558238
1,4,1,-1.49252610273828,-1.31594369619679
1,4,2,0.077525409406627,1.17364552604817
1,4,2,-0.549679490666524,-0.670087699786164
2,4,1,-1.72229587520586,-1.65527488730802
2,4,2,-2.23778141645206,-1.43316533371801
2,4,2,-0.0324227298696199,-0.452333295833731
3,4,1,2.27230726530654,2.14269125790737
3,4,2,0.252823205780426,0.195748328920127
3,4,2,-0.449085106930244,-0.189733399019828
4,4,1,-1.70826249908014,-1.9084094880573
4,4,2,0.174783640044626,-0.828482880834102
4,4,2,0.808196560008958,1.64550534856579
5,4,1,1.11611862793129,1.12546011155317
5,4,2,3.32434314112381,2.15031447315256
5,4,2,0.981592608321816,-0.426059694132084
6,4,1,0.00738669382865859,0.36365616237062
6,4,2,1.53652095682313,0.341653724680785
6,4,2,-1.00576294487734,-0.943863887535832
7,4,1,0.235772749938305,0.0556497272186751
7,4,2,-1.55260213191479,-0.342835195342175
7,4,2,0.373766879816081,0.215458695150703
8,4,1,-0.381331199358081,-0.574515780819124
8,4,2,-0.28104913853304,-0.672164714663661
8,4,2,0.63340457186972,0.328190294866369
9,4,1,0.143529174405614,0.440405828798246
9,4,2,0.368819460349426,-0.977711762682146
9,4,2,1.61457275366606,1.28304883179423
10,4,1,1.99926841711183,2.10510524208657
10,4,2,-1.87369564639085,-0.273811964048247
10,4,2,0.304146089631941,0.975414221152607
11,4,1,-0.421464368285735,-0.685126179087108
11,4,2,-0.409789605839113,-0.648656078130711
11,4,2,2.10467565767172,-0.481926943528544
12,4,1,2.56410373300128,2.13128125824021
12,4,2,-0.0656204276958556,-0.874115474695408
12,4,2,0.784987822346487,-0.407569366416338
13,4,1,-0.476349049494433,-0.741409756189684
13,4,2,0.930431644059265,0.43138378567701
13,4,2,-1.97086202965016,0.365366486721691
14,4,1,1.75323533437098,1.36926067286962
14,4,2,0.743598363691333,0.981548390290763
14,4,2,-0.29435450675253,-1.26090231458156
15,4,1,-1.25588783912184,-0.725164327703953
15,4,2,0.528464460226603,-0.68843168582554
15,4,2,0.669837754063133,0.331896569250149
16,4,1,1.43499792297865,1.21173246745485
16,4,2,-0.366431694185168,0.969902334225388
16,4,2,-0.773027982382785,0.0726093575694065
17,4,1,-1.92250146901175,-2.22297968530586
17,4,2,0.129481049564499,0.0948851415544539
17,4,2,0.270905379507519,0.670473700909171
18,4,1,-0.524971365417104,-0.301324124071857
18,4,2,0.949542891475706,0.794262531712269
18,4,2,1.40448453828257,-0.208007973104868
19,4,1,-0.233837258165749,-0.425081239322647
19,4,2,0.139955699674168,-0.856617172503112
19,4,2,-0.959677794108827,0.399061314778174
20,4,1,0.144233156994163,-0.478603103253591
20,4,2,0.861157389437385,0.349436069799688
20,4,2,1.12028531973944,1.48416111927666
21,4,1,-0.410821743995606,-0.248991085077467
21,4,2,2.02269564944099,1.20522996134827
21,4,2,-1.21691763546031,-1.32716960123188
22,4,1,0.0411459396364713,0.0460506044590391
22,4,2,0.150773001713903,-2.10396348374835
22,4,2,0.321036520875945,0.665622670831749
23,4,1,0.886555242248555,0.933661179579777
23,4,2,0.376771118912028,-0.424761617796682
23,4,2,-0.402360500697691,0.402892905017569
24,4,1,1.55395895107307,0.817511979117738
24,4,2,-0.448146891980391,0.381889998430135
24,4,2,-0.546900137465831,1.40940187641186
25,4,1,0.773191830284004,1.14355458329344
25,4,2,-0.965273155471,-0.49370983616855
25,4,2,-0.786169760053514,-0.433736270461025
26,4,1,2.22562135735306,1.88020116104431
26,4,2,0.222619766100525,-2.02259577177704
26,4,2,-1.13086403357222,-0.460801860304366
27,4,1,1.17764178338657,1.24103596886474
27,4,2,1.1581536944323,1.11654837691216
27,4,2,2.17056799078913,0.345052619586854
28,4,1,-0.72685996685854,-0.803765805306641
28,4,2,1.80703675035655,0.251768231711125
28,4,2,-0.71796430052952,0.235846354346123
29,4,1,-0.144329485223595,0.233541946139168
29,4,2,-0.324173886003117,1.18726116527938
29,4,2,0.469383947789235,2.33293099752889
30,4,1,0.867256933026842,0.800980477584115
30,4,2,-0.766047666193399,-0.712343542721538
30,4,2,0.16240673229112,0.860715798802754
31,4,1,-1.30506689622165,-1.1598386894488
31,4,2,-0.386959322922746,-1.0991278809253
31,4,2,-1.25341682383978,0.270421924101807
32,4,1,0.850446847820222,1.01188997946605
32,4,2,-0.0344250433401956,-0.457768989925528
32,4,2,-0.58778533684924,-0.429737987650143
33,4,1,-0.0466990225937662,0.858656866924843
33,4,2,-1.24073873225508,-1.29766759633137
33,4,2,-0.343966369171777,-0.780966123440838
34,4,1,0.781614083945126,0.170414850174454
34,4,2,0.265565964515238,-0.0283316108305671
34,4,2,0.603675149080069,-0.257427898520306
35,4,1,-0.166165489688196,-0.516509280450068
35,4,2,-0.203662256584532,0.505984576014396
35,4,2,1.12469744078366,1.18742283591289
36,4,1,-0.83706125182318,-1.19119188050712
36,4,2,-2.22914680453581,-2.62490063294932
36,4,2,0.861781222678136,0.570867745225479
37,4,1,0.560725731796839,-0.173330298511788
37,4,2,0.593787040539479,1.43316536917159
37,4,2,0.768261589688068,-0.920145617167195
38,4,1,-0.495301823363901,-0.974200197393963
38,4,2,0.0901100175129078,0.864876820042021
38,4,2,-0.114354914393129,-0.534332570132766
39,4,1,-0.23940781993972,0.10871234277727
39,4,2,1.45728073880864,-0.0115317982679997
39,4,2,0.317776755571047,0.739191658277773
40,4,1,0.136320606276036,0.53837252933902
40,4,2,-1.05180818747359,-0.678780959529156
40,4,2,-0.190903268229356,-0.4697665347342
41,4,1,-1.74114678713771,-0.949621462819706
41,4,2,-1.98749581938797,-0.332312027073529
41,4,2,0.277883370256222,1.7124026039019
42,4,1,0.109256918972867,-0.369019199325335
42,4,2,-1.01271970112985,-0.405742289952295
42,4,2,0.181500666257784,-0.224381779513095
43,4,1,0.0070906104480494,-0.384857196573989
43,4,2,-0.273011913271063,-0.565558271328673
43,4,2,1.68735517803864,-0.0314414947881059
44,4,1,0.233273174786103,-0.20235065682294
44,4,2,0.442333266526882,-0.376905881836531
44,4,2,1.24248180998708,0.476715002906289
45,4,1,0.321533766298157,0.00634157125177967
45,4,2,0.0514085967936467,1.00410253028945
45,4,2,-0.837150927612407,-0.801250853928969
46,4,1,2.4161385208101,2.46529550724539
46,4,2,0.990787516843536,1.31074687441705
46,4,2,-0.370816106565491,-0.410265316990136
47,4,1,0.593807064867047,-0.0702471615766911
47,4,2,0.273030778584415,0.0449223564622048
47,4,2,-0.337176283909355,0.69526561418745
48,4,1,0.210651252155869,-0.158214622936441
48,4,2,0.518155627908344,0.716936528396503
48,4,2,-0.635296403052278,-1.29815942252192
49,4,1,1.50645000966036,1.56003266268857
49,4,2,-0.561363910864732,0.228046407065142
49,4,2,-0.629991763169657,0.351087020827251
50,4,1,1.59029285075117,1.04678087873496
50,4,2,2.09103958279083,1.68886722689048
50,4,2,-0.516107118646546,-1.40866905042556
1,5,1,-0.0564359344206423,-0.130626447374094
